"CODE","DESCRIPTION"
"PPE","PERFORMANCE PLUS PRODUCTS"
"PRCA","PIERCE ARROW"
"PREO","PREVOST"
"PRO","PRO CRAFT, INC."
"PSL","J BOATS WEST (PERFORMANCE & LASER SAILCRAFT)"
"PTRB","PETERBUILT MOTORS"
"PUCH","PUCH"
"PWR","POWER CAT MFG., INC."
"PYB","PENN YAN BOATS, INC."
"PYH","PYTHON BOATS"
"RA1","AMF ROBALO DIVISION"
"RAID","LEISURE VEHICLES INC."
"RAL","AMF ROBALO"
"RAM","RAM"
"RAMB","RAMBLER"
"RAS","RAYSON MARINE (RAYSONCRAFT)"
"RBM","RENKEN BOAT MFG. CO"
"RCB","ROGERS CUSTOM BOATS"
"RCH","RICH LINE BOATS (RICHLAND MFG. CO.)"
"RDA","CHARGER BOAT COMPANY"
"RELA","RELIANT"
"REN","REINELL BOATS, INC."
"RENA","RENAULT"
"REO","REO"
"RGH","ROUGHNECK BOAT CO."
"RGM","REGAL MARINE INDUSTRIES, INC."
"RGP","RIVERS-GILMAN MOULD PRODS."
"RHE","ROCHELL CRAFT CORP."
"RHT","SURF-JET CORP."
"RHY","RHYAN-CRAFT BOATS MFG."
"RILE","RILEY"
"RJS","OLYMPIAN BOATS (R. J. SMITH CO.)"
"RNG","WOOD MANUFACTURING CO., INC.(FORREST WOOD MFG. CO."
"RNK","RINKER BOAT CO., INC."
"ROCE","ROCKET TRAILER, LTD."
"ROL","ROLLS-ROYCE"
"ROLF","ROLL-O-FLEX LTD."
"ROV","ROVER"
"RPII","H & H SNOWMOBILES"
"RROV","RANGE ROVER"
"RSB","RSB FIBERGLASS FORMS"
"RSE","CHARGER CUSTOM BOATS"
"RUPP","RUPP"
"RVR","RIVERA BOAT, INC."
"SAA","SAAB"
"SABE","SABRE (RECREATIVES INC.)"
